path,kind,status,bytes,pages,fonts,vs_v12,finding
19-EDM-Board/index.html,source/app,live,18739,,,unchanged,"T1 no autosave, no browser storage, no unsaved-changes warning"
20-Training/EDM-Training-Manual.pdf,document,output,181453,7,HDGQXH+Montserrat-Bold;HQFGZV+Montserrat;QGUELZ+Montserrat-Oblique;UWGIWA+DejaVu-Sans-Bold;XJHXHJ+Montserrat-Semi-Bold,unchanged,D5 DejaVu-Sans-Bold (second family)
21-Chatbot/README.txt,documentation,live,2866,,,unchanged,
21-Chatbot/edm-chatbot.html,source/app,live,9713,,,unchanged,"T2 calls api.anthropic.com directly, unauthenticated — cannot work on the live site"
21-Chatbot/relay/README.txt,documentation,live,1123,,,unchanged,
21-Chatbot/relay/relay.js,code,live,6340,,,unchanged,"T3 no origin check, no rate limit; T4 prompt says ""trading since 1986"" and ""works internationally"""
22-Social-Media-System/CTA-SYSTEM.md,documentation,live,7898,,,unchanged,
22-Social-Media-System/INSTAGRAM-CONTENT.md,documentation,live,11708,,,unchanged,
22-Social-Media-System/README.md,documentation,live,2072,,,changed,
22-Social-Media-System/SOCIAL-PLAYBOOK.md,documentation,live,12871,,,unchanged,
22-Social-Media-System/assets/EDM-Cube-Mark-1024.png,image,live,122239,,,unchanged,
22-Social-Media-System/assets/fonts/montserrat-300.ttf,font,live,48532,,,unchanged,
22-Social-Media-System/assets/fonts/montserrat-400.ttf,font,live,48532,,,unchanged,
22-Social-Media-System/assets/fonts/montserrat-600.ttf,font,live,48644,,,unchanged,
22-Social-Media-System/assets/fonts/montserrat-700.ttf,font,live,48520,,,unchanged,
22-Social-Media-System/make-templates.py,code,live,16908,,,changed,
22-Social-Media-System/templates/IG-avatar-320x320.png,image,live,19442,,,unchanged,
22-Social-Media-System/templates/IG-carousel-01-cover.png,image,live,69433,,,unchanged,
22-Social-Media-System/templates/IG-carousel-02-body.png,image,live,50919,,,unchanged,
22-Social-Media-System/templates/IG-carousel-05-end.png,image,live,62796,,,unchanged,
22-Social-Media-System/templates/IG-highlight-jobs.png,image,live,17872,,,unchanged,
22-Social-Media-System/templates/IG-highlight-site.png,image,live,15008,,,unchanged,
22-Social-Media-System/templates/IG-highlight-team.png,image,live,15801,,,unchanged,
22-Social-Media-System/templates/IG-highlight-trades.png,image,live,18187,,,unchanged,
22-Social-Media-System/templates/IG-highlight-work.png,image,live,18695,,,unchanged,
22-Social-Media-System/templates/IG-portrait-hiring.png,image,live,79285,,,unchanged,
22-Social-Media-System/templates/IG-portrait-photo.png,image,live,40845,,,unchanged,
22-Social-Media-System/templates/IG-portrait-statement.png,image,live,80298,,,unchanged,
22-Social-Media-System/templates/IG-square-stat.png,image,live,63336,,,unchanged,
22-Social-Media-System/templates/IG-square-statement.png,image,live,56386,,,unchanged,
22-Social-Media-System/templates/IG-story-hiring.png,image,live,75663,,,unchanged,
22-Social-Media-System/templates/IG-story-progress.png,image,live,72670,,,unchanged,
22-Social-Media-System/templates/LI-company-banner-1128x191.png,image,live,20118,,,unchanged,
22-Social-Media-System/templates/LI-link-card-1200x627.png,image,live,39913,,,unchanged,
22-Social-Media-System/templates/LI-personal-banner-1584x396.png,image,live,42872,,,unchanged,
22-Social-Media-System/templates/avatar-400x400.png,image,live,26107,,,unchanged,
CHANGELOG.txt,documentation,live,24053,,,changed,P1 V13 entry claims fixes the V12->V13 diff does not contain
CHANGES-FROM-V11.md,documentation,live,9818,,,new in V13,
CLAUDE.md,documentation,live,7489,,,changed,
DECISIONS.md,documentation,live,9707,,,new in V13,
EDM-Decisions.pdf,document,output,159565,2,HDGQXH+Montserrat-Bold;HQFGZV+Montserrat;XJHXHJ+Montserrat-Semi-Bold,unchanged,
EDM-Holdings-Board-Review.pdf,document,output,1024024,11,HDGQXH+Montserrat-Bold;HQFGZV+Montserrat;XJHXHJ+Montserrat-Semi-Bold,unchanged,
EDM-Holdings-Pre-Launch-Audit.pdf,document,output,216531,7,HDGQXH+Montserrat-Bold;HQFGZV+Montserrat;MHSHUU+Montserrat-Italic;XJHXHJ+Montserrat-Semi-Bold,unchanged,
EDM-Technology-Runbook.pdf,document,output,161163,2,HDGQXH+Montserrat-Bold;HQFGZV+Montserrat;XJHXHJ+Montserrat-Semi-Bold,unchanged,
EDM-V11-Asset-Audit-as-received.md,documentation,live,7039,,,unchanged,
IMPLEMENTATION-ORDERS.pdf,document,output,165438,2,HDGQXH+Montserrat-Bold;HQFGZV+Montserrat;XJHXHJ+Montserrat-Semi-Bold,unchanged,
Project-Showcase.pdf,document,output,4604187,17,HDGQXH+Montserrat-Bold;HQFGZV+Montserrat;XJHXHJ+Montserrat-Semi-Bold,unchanged,
QA-REPORT.md,documentation,live,5879,,,new in V13,
README.md,documentation,live,5736,,,changed,"P2 says ""CHANGELOG.txt — V12 is current"" in a V13 pack"
START-HERE.md,documentation,live,7101,,,changed,
_ARCHIVE-original-README.txt,documentation,live,2905,,,unchanged,
